CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
Arab World,ARB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.72449969733611
Caribbean small states,CSS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,9.692960267791962
Central Europe and the Baltics,CEB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.911131207182351
East Asia & Pacific (all income levels),EAS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.85954848739331
East Asia & Pacific (developing only),EAP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.302499353704519
Euro area,EMU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.13248299990191
Europe & Central Asia (all income levels),ECS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.54133422629917
Europe & Central Asia (developing only),ECA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.4127074041852
European Union,EUU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.06979787027619
Fragile and conflict affected situations,FCS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.8586288462196
Heavily indebted poor countries (HIPC),HPC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.230193317551096
High income,HIC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,11.0702804825437
High income: nonOECD,NOC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,11.6603932570965
High income: OECD,OEC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,10.9778370949351
Latin America & Caribbean (all income levels),LCN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.9333291759501297
Latin America & Caribbean (developing only),LAC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.38417560728642
Least developed countries: UN classification,LDC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.268707273387085
Low & middle income,LMY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.1031744474373104
Low income,LIC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.270964490008672
Lower middle income,LMC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.5089926650977
